code,airport_name
DBB,Al Alamain International Airport
DBC,Baicheng Chang'an Airport
DBD,Dhanbad Airport
DBK,Dutch Bay Seaplane Base
DBM,Debre Marqos Airport
DBN,W. H. 'Bud' Barron Airport
DBO,Dubbo City Regional Airport
DBP,Debepare Airport
DBQ,Dubuque Regional Airport
DBS,Dubois Municipal Airport
DBT,Debre Tabor Airport
DBU,Dambulu Oya Tank Seaplane Base
DBV,Dubrovnik Airport
DBY,Dalby Airport
DCA,Ronald Reagan Washington National Airport
DCF,Canefield Airport
DCG,Dubai Creek Seaplane Base
DCI,Decimomannu Air Base
DCK,Dahl Creek Airport
DCM,Castres–Mazamet Airport
DCN,RAAF Base Curtin
DCT,Duncan Town Airport
DCU,Pryor Field Regional Airport
DCY,Daocheng Yading Airport
DDC,Dodge City Regional Airport
DDG,Dandong Langtou Airport
DDM,Dodoima Airport
DDN,Delta Downs Airport
DDU,Dadu Airport
DEA,Dera Ghazi Khan International Airport
DEB,Debrecen International Airport
DEC,Decatur Airport
DED,Jolly Grant Airport
DEE,Yuzhno-Kurilsk Mendeleyevo Airport
DEF,Dezful Airport
DEH,Decorah Municipal Airport
DEI,Denis Island Airport
DEL,Indira Gandhi International Airport
DEM,Dembidolo Airport
DEN,Denver International Airport
DEP,Daporijo Airport
DER,Derim Airport
DES,Desroches Airport
DET,Coleman A. Young International Airport
DEX,Nop Goliath Airport
DEZ,Deir ez-Zor Airport
DFI,Defiance Memorial Airport
DFP,Drumduff Airport
DFW,Dallas/Fort Worth International Airport
DGA,Dangriga Airport
DGC,Degeh Bur Airport
DGD,Dalgaranga Airport
DGE,Mudgee Airport
DGF,Douglas Lake Airport
DGK,Dugong Beach Lodge Airstrip
DGL,Douglas Municipal Airport
DGM,Dandugama Seaplane Base
DGN,Naval Surface Warfare Center Dahlgren Division
DGO,General Guadalupe Victoria International Airport
DGP,Daugavpils International Airport
DGR,Dargaville Aerodrome
DGT,Sibulan Airport
DGU,Dédougou Airport
DGW,Converse County Airport
DHA,King Abdulaziz Air Base
DHB,Deer Harbor Sea Plane Base
DHD,Durham Downs Airport
DHF,Al Dhafra Air Base
DHI,Dhangadhi Airport
DHL,Dhala Airport
DHM,Gaggal Airport
DHN,Dothan Regional Airport
DHR,De Kooy Airfield
DHT,Dalhart Municipal Airport
DIA,Doha International Airport
DIB,Dibrugarh Airport
DIE,Arrachart Airport
DIG,Diqing Shangri-La Airport
DIJ,Dijon Air Base
DIK,Dickinson Theodore Roosevelt Regional Airport
DIL,Presidente Nicolau Lobato International Airport
DIM,Dimbokro Airport
DIN,Dien Bien Phu Airport
DIP,Diapaga Airport
DIQ,Divinópolis Airport
DIR,Aba Tenna Dejazmach Yilma International Airport
DIS,Dolisie Airport
DIU,Diu Airport
DIV,Divo Airport
DIW,Mawella Lagoon Seaplane Base
DIY,Diyarbakır Airport
DJA,Djougou Airport
DJB,Sultan Thaha Airport
DJE,Djerba–Zarzis International Airport
DJG,Tiska Djanet Airport
DJH,Jebel Ali Seaplane Base
DJJ,Sentani Airport
DJM,Djambala Airport
DJN,Delta Junction Airport
DJO,Daloa Airport
DJU,Djúpivogur Airport
DKA,Katsina Airport
DKI,Dunk Island Airport
DKK,Chautauqua County/Dunkirk Airport
DKR,Léopold Sédar Senghor International Airport
DKS,Dikson Airport
DKV,Docker River Airport
DLA,Douala International Airport
DLB,Dalbertis Airport
DLC,Dalian Zhoushuizi International Airport
DLE,Dole–Jura Airport
DLF,Laughlin Air Force Base
DLG,Dillingham Airport
DLH,Duluth International Airport
DLI,Lien Khuong Airport
DLK,Dulkaninna Airport
DLL,Dillon County Airport
DLM,Dalaman Airport
DLN,Dillon Airport
DLS,Columbia Gorge Regional Airport
DLU,Dali Airport
DLV,Delissaville Airport
DLY,Dillon's Bay Airport
DLZ,Dalanzadgad Airport
DMA,Davis–Monthan Air Force Base
DMB,Taraz Airport
DMD,Doomadgee Airport
DME,Domodedovo International Airport
DMK,Don Mueang International Airport
DMM,King Fahd International Airport
DMN,Deming Municipal Airport
DMO,Sedalia Regional Airport
DMR,Dhamar Airport
DMT,Diamantino Airport
DMU,Dimapur Airport
DNA,Kadena Air Base
DNB,Dunbar Airport
DND,Dundee Airport
DNF,Martuba Air Base
DNG,Doongan Airport
DNH,Dunhuang Airport
DNI,Wad Medani Airport
DNK,Dnipropetrovsk International Airport
DNL,Daniel Field
DNM,Denham Airport
DNN,Dalton Municipal Airport
DNO,Dianópolis Airport
DNP,Tribhuvannagar Airport
DNQ,Deniliquin Airport
DNR,Dinard–Pleurtuit–Saint-Malo Airport
DNS,Denison Municipal Airport
DNU,Dinangat Airport
DNV,Vermilion Regional Airport
DNX,Galegu Airport
DNZ,Denizli Çardak Airport
DOA,Doany Airport
DOB,Dobo Airport
DOC,Dornoch Airport
DOD,Dodoma Airport
DOE,Djoemoe Airstrip
DOG,Dongola Airport
DOH,Hamad International Airport
DOI,Doini Island Airport
DOK,Donetsk International Airport
DOL,Deauville – Saint-Gatien Airport
DOM,Douglas–Charles Airport
DON,Dos Lagunas Airport
DOO,Dorobisoro Airstrip
DOP,Dolpa Airport
DOR,Dori Airport
DOS,Dios Airport
DOU,Dourados Airport
DOV,Dover Air Force Base
DOX,Dongara Airport
DOY,Dongying Shengli Airport
DPA,DuPage Airport
DPE,Dieppe - Saint-Aubin Airport
DPG,Michael Army Airfield
DPL,Dipolog Airport
DPO,Devonport Airport
DPS,Ngurah Rai International Airport
DPT,Deputatsky Airport
DPU,Dumpu Airport
DQA,Daqing Sartu Airport
DQM,Duqm International Airport
DRA,Desert Rock Airport
DRB,Derby Airport
DRC,Dirico Airport
DRD,Dorunda Airport
DRE,Drummond Island Airport
DRF,Drift River Airport
DRG,Deering Airport
DRH,Dabra Airport
DRI,Beauregard Regional Airport
DRJ,Drietabbetje Airstrip
DRK,Drake Bay Airport
DRN,Dirranbandi Airport
DRO,Durango–La Plata County Airport
DRR,Durrie Airport
DRS,Dresden Airport
DRT,Del Rio International Airport
DRU,Drummond Airport
DRV,Dharavandhoo Airport
DRW,Darwin International Airport
DRY,Drysdale River Airport
DSA,Robin Hood Airport Doncaster Sheffield
DSC,Dschang Airport
DSD,La Désirade Airport
DSE,Combolcha Airport
DSG,Dilasag Airport
DSI,Destin Executive Airport
DSK,Dera Ismail Khan Airport
DSM,Des Moines International Airport
DSN,Ordos Ejin Horo Airport
DSO,Sondok Airport
DSS,Blaise Diagne International Airport
DSV,Dansville Municipal Airport
DSX,Dongsha Island Airport
DTA,Delta Municipal Airport
DTB,Silangit Airport
DTD,Datadawai Airport
DTE,Bagasbas Airport
DTH,Furnace Creek Airport
DTI,Diamantina Airport
DTL,Detroit Lakes Airport
DTM,Dortmund Airport
DTN,Shreveport Downtown Airport
DTR,Decatur Shores Airport
DTT[1],1
DTU,Wudalianchi Airport
DTW,Detroit Metropolitan Wayne County Airport
DUA,Durant Regional Airport–Eaker Field
DUB,Dublin Airport
DUC,Halliburton Field
DUD,Dunedin International Airport
DUE,Dundo Airport
DUF,Pine Island Airport
DUG,Bisbee Douglas International Airport
DUJ,DuBois Regional Airport
DUK,Dukuduku Airport
DUM,Pinang Kampai Airport
DUQ,Duncan Airport
DUR,King Shaka International Airport
DUS,Düsseldorf Airport
DUT,Unalaska Airport
DVD,Andavadoaka Airport
DVK,Diavik Airport
DVL,Devils Lake Regional Airport
DVN,Davenport Municipal Airport
DVO,Francisco Bangoy International Airport
DVP,Davenport Downs Airport
DVR,Daly River Airport
DVT,Phoenix Deer Valley Airport
DWA,Dwanga Airport
DWB,Soalala Airport
DWC,Al Maktoum International Airport
DWD,Dawadmi Domestic Airport
DWH,David Wayne Hooks Memorial Airport
DWO,Diyawanna Oya Seaplane Base
DWR,Dwyer Airport
DXB,Dubai International Airport
DXD,Dixie Airport
DXE,Bruce Campbell Field
DXR,Danbury Municipal Airport
DYA,Dysart Airport
DYG,Zhangjiajie Hehua Airport
DYL,Doylestown Airport
DYM,Diamantina Lakes Airport
DYR,Ugolny Airport
DYS,Dyess Air Force Base
DYU,Dushanbe International Airport
DYW,Daly Waters Airport
DZA,Dzaoudzi–Pamandzi International Airport
DZI,Codazzi Airport
DZN,Zhezkazgan Airport
DZO,Santa Bernardina International Airport
DZU,Dazu Air Base
EAA,Eagle Airport
EAB,Abbs Airport
EAE,Siwo Airport
EAL,Elenak Airport
EAM,Najran Domestic Airport
EAN,Phifer Airfield
EAP[1],2
EAR,Kearney Regional Airport
EAS,San Sebastián Airport
EAT,Pangborn Memorial Airport
EAU,Chippewa Valley Regional Airport
EBA,Marina di Campo Airport
EBB,Entebbe International Airport
EBD,El Obeid Airport
EBG,El Bagre Airport
EBH,El Bayadh Airport
EBJ,Esbjerg Airport
EBL,Erbil International Airport
EBM,El Borma Airport
EBN,Ebadon Airstrip
EBO,Ebon Airport
EBS,Webster City Municipal Airport
EBU,Saint-Étienne–Bouthéon Airport
EBW,Ebolowa Airport
ECA,Iosco County Airport
ECG,Elizabeth City Regional Airport
ECH,Echuca Airport
ECI,Costa Esmeralda Airport
ECN,Ercan International Airport
ECO,El Encanto Airport
ECP,Northwest Florida Beaches International Airport
ECR,El Charco Airport
ECS,Mondell Field
EDA,Edna Bay Seaplane Base
EDB,El Debba Airport
EDD,Erldunda Airport
EDE,Northeastern Regional Airport
EDF,Elmendorf Air Force Base
EDI,Edinburgh Airport
EDK,Captain Jack Thomas/El Dorado Airport
EDL,Eldoret International Airport
EDM,La Roche-sur-Yon Aerodrome
EDO,Balıkesir Koca Seyit Airport
EDQ,Erandique Airport
EDR,Edward River Airport
EDW,Edwards Air Force Base
EED,Needles Airport
EEK,Eek Airport
EEN,Dillant–Hopkins Airport
EFD,Ellington Field
EFG,Efogi Airport
EFK,Newport State Airport
EFL,Cephalonia International Airport
EFW,Jefferson Municipal Airport
EGA,Engati Airport
EGC,Bergerac Dordogne Périgord Airport
EGE,Eagle County Regional Airport
EGI,Duke Field
EGL,Neghelle Airport
EGM,Seghe Airport
EGN,Geneina Airport
EGO,Belgorod International Airport
EGP,Maverick County Memorial International Airport
EGS,Egilsstaðir Airport
EGV,Eagle River Union Airport
EGX,Egegik Airport
EHL,El Bolsón Airport
EHM,Cape Newenham LRRS Airport
EIA,Popondetta Airport
EIB,Eisenach-Kindel Airport
EIE,Yeniseysk Airport
EIH,Einasleigh Airport
EIK,Yeysk Airport
EIL,Eielson Air Force Base
EIN,Eindhoven Airport
EIS,Terrance B. Lettsome International Airport
EIY,Ein Yahav Airfield
EJA,Yariguíes Airport
EJH,Al Wajh Domestic Airport
EJN,Ejin Banner Taolai Airport
EJT,Enejit Airport
EKA,Murray Field
EKB,Ekibastuz Airport
EKD,Elkedra Airport
EKE,Ekereku Airport
EKI,Elkhart Municipal Airport
EKN,Elkins-Randolph County Airport
EKO,Elko Regional Airport
EKS,Shakhtyorsk Airport
EKT,Eskilstuna Airport
EKX,Elizabethtown Regional Airport
ELA,Eagle Lake Airport
ELB,Las Flores Airport
ELC,Elcho Island Airport
ELD,South Arkansas Regional Airport at Goodwin Field
ELE,El Real Airport
ELF,El Fasher Airport
ELG,El Golea Airport
ELH,North Eleuthera Airport
ELI,Elim Airport
ELJ,El Recreo Airport
ELK,Elk City Regional Business Airport
ELL,Ellisras Airport
ELM,Elmira/Corning Regional Airport
ELN,Bowers Field
ELO,Eldorado Airport
ELP,El Paso International Airport
ELQ,Prince Nayef bin Abdulaziz Regional Airport
ELR,Elelim Airport
ELS,East London Airport
ELT,El Tor Airport
ELU,Guemar Airport
ELV,Elfin Cove Seaplane Base
ELW,Ellamar Seaplane Base
ELX,El Tigre Airport
ELY,Ely Airport
ELZ,Wellsville Municipal Airport
EMA,East Midlands Airport
EMD,Emerald Airport
EME,Emden Airport
EMG,Empangeni Airport
EMI,Emirau Airport
EMK,Emmonak Airport
EML,Emmen Air Base
EMM,Kemmerer Municipal Airport
EMN,Néma Airport
EMO,Emo Airport
EMP,Emporia Municipal Airport
EMS,Embessa Airport
EMT,San Gabriel Valley Airport
EMX,El Maitén Airport
EMY,El Minya Airport
ENA,Kenai Municipal Airport
ENB,Eneabba Airport
ENC,Nancy-Essey Airport
END,Vance Air Force Base
ENE,H. Hasan Aroeboesman Airport
ENF,Enontekiö Airport
ENH,Enshi Xujiaping Airport
ENI,El Nido Airport
ENJ,El Naranjo Airport
ENK,Enniskillen/St Angelo Airport
ENL,Centralia Municipal Airport
ENN,Nenana Municipal Airport
ENO,Teniente Amin Ayub Gonzalez Airport
ENS,Enschede Airport Twente
ENT,Enewetak Auxiliary Airfield
ENU,Akanu Ibiam International Airport
ENV,Wendover Airport
ENW,Kenosha Regional Airport
ENY,Yan'an Nanniwan Airport
EOH,Olaya Herrera Airport
EOI,Eday Airport
EOK,Keokuk Municipal Airport
EOR,El Dorado Airport
EOS,Neosho Hugh Robinson Airport
EOZ,Elorza Airport
EPA,El Palomar Airport
EPG,Browns Airport
EPH,Ephrata Municipal Airport
EPL,Épinal – Mirecourt Airport
EPN,Epéna Airport
EPR,Esperance Airport
EPS,Arroyo Barril Airport
EPT,Eliptamin Airport
EPU,Pärnu Airport
EQS,Esquel Airport
ERA,Erigavo Airport
ERB,Pukatja Airport
ERC,Erzincan Airport
ERD,Berdiansk Airport
ERE,Erave Airport
ERF,Erfurt–Weimar Airport
ERG,Erbogachen Airport
ERH,Moulay Ali Cherif Airport
ERI,Erie International Airport
ERL,Erenhot Saiwusu International Airport
ERM,Erechim Airport
ERN,Eirunepé Airport
ERQ,Elrose Airport
ERR,Errol Airport
ERS,Eros Airport
ERT,Erdenet Airport
ERU,Erume Airport
ERV,Kerrville Municipal Airport
ERZ,Erzurum Airport
ESA,Esa'ala Airport
ESB,Esenboğa International Airport
ESC,Delta County Airport
ESD,Orcas Island Airport
ESE,Ensenada Airport
ESF,Esler Airfield
ESG,Dr. Luis María Argaña International Airport
ESH,Shoreham Airport
ESI,Espinosa Airport
ESK,Eskişehir Airport
ESL,Elista Airport
ESM,Carlos Concha Torres International Airport
ESN,Easton Airport
ESO,Ohkay Owingeh Airport
ESP,Stroudsburg–Pocono Airport
ESR,Ricardo García Posada Airport
ESS,Essen/Mülheim Airport
EST,Estherville Municipal Airport
ESU,Essaouira-Mogador Airport
ESW,Easton State Airport
ETB,West Bend Municipal Airport
ETD,Etadunna Airport
ETE,Genda Wuha Airport
ETH,J. Hozman Airport
ETM,Ramon Airport
ETN,Eastland Municipal Airport
ETR,Santa Rosa International Airport
ETS,Enterprise Municipal Airport
ETZ,Metz–Nancy–Lorraine Airport
EUA,Eua Airport
EUC,Eucla Airport
EUE,Eureka Airport
EUF,Weedon Field
EUG,Eugene Airport
EUM,Neumünster Airport
EUN,Hassan I Airport
EUO,Paratebueno Airport
EUQ,Evelio Javier Airport
EUX,F. D. Roosevelt Airport
EVA,Ben Bruce Memorial Airpark
EVD,Eva Downs Airport
EVE,"Harstad/Narvik Airport, Evenes"
EVG,Sveg Airport
EVH,Evans Head Memorial Aerodrome
EVM,Eveleth-Virginia Municipal Airport
EVN,Zvartnots International Airport
EVV,Evansville Regional Airport
EVW,Evanston-Uinta County Burns Field
EVX,Évreux-Fauville Air Base
EWB,New Bedford Regional Airport
EWE,Ewer Airport
EWI,Enarotali Airport
EWK,Newton City/County Airport
EWN,Coastal Carolina Regional Airport
EWO,Ewo Airport
EWR,Newark Liberty International Airport
EXI,Excursion Inlet Seaplane Base
EXM,Exmouth Airport
EXT,Exeter International Airport
EYK,Beloyarsk Airport
EYL,Yélimané Airport
EYP,El Alcaraván Airport
EYR,Yerington Municipal Airport
EYS,Eliye Springs Airport
EYW,Key West International Airport
EZE,Ministro Pistarini International Airport
EZS,Elazığ Airport
EZV,Beryozovo Airport
FAA,Faranah Airport
FAB,Farnborough Airport
FAC,Faaite Airport
FAE,Vágar Airport
FAF,Felker Army Airfield
FAG,Fagurhólsmýri Airport
FAH,Farah Airport
FAI,Fairbanks International Airport
FAJ,Diego Jiménez Torres Airport
FAK,False Island Seaplane Base
FAM,Farmington Regional Airport
FAO,Faro Airport
FAQ,Frieda River Airport
FAR,Hector International Airport
FAS,Fáskrúðsfjörður Airport
FAT,Fresno Yosemite International Airport
FAU,Fahud Airport
FAV,Fakarava Airport
FAY,Fayetteville Regional Airport
FAZ,Fasa Airport
FBA,Fonte Boa Airport
FBD,Fayzabad Airport
FBE,Francisco Beltrão Airport
FBG,Simmons Army Airfield
FBK,Ladd Army Airfield
FBL,Faribault Municipal Airport
FBM,Lubumbashi International Airport
FBR,Fort Bridger Airport
FBS,Friday Harbor Seaplane Base
FBY,Fairbury Municipal Airport
FCA,Glacier Park International Airport
FCB,Ficksburg Airport
FCH,Fresno Chandler Executive Airport
FCM,Flying Cloud Airport
FCN,Nordholz Naval Airbase
FCO,Leonardo da Vinci–Fiumicino Airport
FCS,Butts Army Airfield
FCY,Forrest City Municipal Airport
FDE,"Førde Airport, Bringeland"
FDF,Martinique Aimé Césaire International Airport
FDH,Friedrichshafen Airport
FDK,Frederick Municipal Airport
FDR,Frederick Regional Airport
FDU,Bandundu Airport
FDY,Findlay Airport
FEA,Fetlar Airport
FEB,Sanfebagar Airport
FEC,Feira de Santana Airport
FEG,Fergana International Airport
FEJ,Feijó Airport
FEK,Ferkessédougou Airport
FEL,Fürstenfeldbruck Air Base
FEN,Fernando de Noronha Airport
FEP,Albertus Airport
FET,Fremont Municipal Airport
FEZ,Fes–Saïss Airport
FFA,First Flight Airport
FFD,RAF Fairford
FFL,Fairfield Municipal Airport
FFM,Fergus Falls Municipal Airport
FFO,Wright-Patterson Air Force Base
FFT,Capital City Airport
FFU,Futaleufú Airfield
FGD,Fderik Airport
FGI,Fagali'i Airport
FGU,Fangatau Airport
FHU,Sierra Vista Municipal Airport
FHZ,Fakahina Airport
FID,Elizabeth Field
FIE,Fair Isle Airport
FIG,Fria Airport
FIH,N'djili Airport
FIK,Finke Airport
FIL,Fillmore Municipal Airport
FIN,Finschhafen Airport
FIZ,Fitzroy Crossing Airport
FJR,Fujairah International Airport
FKB,Karlsruhe/Baden-Baden Airport
FKI,Bangoka International Airport
FKJ,Fukui Airport
FKL,Venango Regional Airport
FKN,Franklin Municipal–John Beverly Rose Airport
FKQ,Fakfak Torea Airport
FKS,Fukushima Airport
FLA,Gustavo Artunduaga Paredes Airport
FLB,Cangapara Airport
FLD,Fond du Lac County Airport
FLF,Flensburg-Schäferhaus Airport
FLG,Flagstaff Pulliam Airport
FLH,Flotta Island Airport
FLI,Holt Airport
FLL,Fort Lauderdale–Hollywood International Airport
FLM,Filadelfia Airport
FLN,Hercílio Luz International Airport
FLO,Florence Regional Airport
FLP,Marion County Regional Airport
FLR,"Florence Airport, Peretola"
FLS,Flinders Island Airport
FLT,Flat Airport
FLV,Sherman Army Airfield
FLW,Flores Airport
FLX,Fallon Municipal Airport
FLY,Finley Airport
FLZ,Ferdinand Lumban Tobing Airport
FMA,Formosa International Airport
FME,Tipton Airport
FMH,Otis Air National Guard Base
FMI,Kalemie Airport
FMM,Memmingen Airport
FMN,Four Corners Regional Airport
FMO,Münster Osnabrück International Airport
FMS,Fort Madison Municipal Airport
FMU,Florence Municipal Airport
FMY,Page Field
FNA,Lungi International Airport
FNB,Neubrandenburg Airport
FNC,Madeira Airport
FND,Funadhoo Airport
FNE,Fane Airport
FNG,Fada N'gourma Airport
FNH,Fincha Airport
FNI,Nîmes–Alès–Camargue–Cévennes Airport
FNJ,Pyongyang Sunan International Airport
FNL,Fort Collins–Loveland Municipal Airport
FNR,Funter Bay Seaplane Base
FNT,Bishop International Airport
FNU,Oristano-Fenosu Airport
FOA,Foula Airfield
FOB,Fort Bragg Airport
FOC,Fuzhou Changle International Airport
FOD,Fort Dodge Regional Airport
FOE,Topeka Regional Airport
FOG,"Foggia ""Gino Lisa"" Airport"
FOK,Francis S. Gabreski Airport
FOM,Foumban Nkounja Airport
FON,La Fortuna Airport
FOO,Kornasoren Airport
FOR,Pinto Martins – Fortaleza International Airport
FOS,Forrest Airport
FOT,Forster (Wallis Island) Airport
FOU,Fougamou Airport
FOY,Foya Airport
FPO,Grand Bahama International Airport
FPR,St. Lucie County International Airport
FPY,Perry-Foley Airport
FRA,Frankfurt Airport
FRB,Forbes Airport
FRC,Franca Airport
FRD,Friday Harbor Airport
FRE,Fera Airport
FRG,Republic Airport
FRH,French Lick Municipal Airport
FRI,Marshall Army Airfield
FRK,Frégate Island Airport
FRL,Forlì International Airport
FRM,Fairmont Municipal Airport
FRN,Bryant Army Airport
FRO,Florø Airport
FRQ,Feramin Airport
FRR,Front Royal–Warren County Airport
FRS,Mundo Maya International Airport
FRT,Frutillar Airport
FRU,Manas International Airport
FRW,Francistown Airport
FRY,Eastern Slopes Regional Airport
FRZ,Fritzlar Air Base
FSC,Figari–Sud Corse Airport
FSD,Sioux Falls Regional Airport
FSI,Henry Post Army Airfield
FSK,Fort Scott Municipal Airport
FSL,Fossil Downs Airport
FSM,Fort Smith Regional Airport
FSP,Saint-Pierre Airport
FSS,RAF Kinloss
FST,Fort Stockton–Pecos County Airport
FSU,Fort Sumner Municipal Airport
FSZ,Shizuoka Airport
FTA,Futuna Airport
FTE,Comandante Armando Tola International Airport
FTI,Fitiuta Airport
FTK,Godman Army Airfield
FTU,Tôlanaro Airport
FTW,Fort Worth Meacham International Airport
FTX,Owando Airport
FTY,Fulton County Airport
FUB,Fulleborn Airport
FUE,Fuerteventura Airport
FUG,Fuyang Xiguan Airport
FUJ,Fukue Airport
FUK,Fukuoka Airport
FUL,Fullerton Municipal Airport
FUM,Fuma Airport
FUN,Funafuti International Airport
FUO,Foshan Shadi Airport
FUT,Pointe Vele Airport
FVL,Flora Valley Airport
FVM,Fuvahmulah Airport
FVR,Forrest River Airport
FWA,Fort Wayne International Airport
FWH,NAS Fort Worth JRB
FWL,Farewell Airport
FXE,Fort Lauderdale Executive Airport
FXO,Cuamba Airport
FXY,Forest City Municipal Airport
FYJ,Fuyuan Dongji Airport
FYM,Fayetteville Municipal Airport
FYN,Fuyun Koktokay Airport
FYT,Faya-Largeau Airport
FYU,Fort Yukon Airport
FYV,Drake Field
FZO,Bristol Filton Airport
GAA,Guamal Airport
GAB,Gabbs Airport
GAC,Gracias Airport
GAD,Northeast Alabama Regional Airport
GAE,Gabès – Matmata International Airport
GAF,Gafsa – Ksar International Airport
GAG,Gage Airport
GAH,Gayndah Airport
GAI,Montgomery County Airpark
GAJ,Yamagata Airport
GAL,Edward G. Pitka Sr. Airport
GAM,Gambell Airport
GAN,Gan International Airport
GAO,Mariana Grajales Airport
GAP,Gusap Airport
GAQ,Gao International Airport
GAR,Garaina Airport
GAS,Garissa Airport
GAT,Gap–Tallard Airport
GAU,Lokpriya Gopinath Bordoloi International Airport
GAV,Gag Island Airport
GAW,Gangaw Airport
GAX,Gamba Airport
GAY,Gaya Airport
GAZ,Guasopa Airport
GBA,Cotswold Airport
GBB,Qabala International Airport
GBC,Gasuke Airport
GBD,Great Bend Municipal Airport
GBE,Sir Seretse Khama International Airport
GBF,Negarbo Airport
GBG,Galesburg Municipal Airport
GBH,Galbraith Lake Airport
GBI,Kalaburagi Airport
GBJ,Marie-Galante Airport
GBK,Gbangbatok Airport
GBL,South Goulburn Island Airport
GBM,Garbaharey Airport
GBP,Gamboola Airport
GBR,Walter J. Koladza Airport
GBT,Gorgan Airport
GBU,Khashm el Girba Airport
GBV,Gibb River Airport
GBW,Ginbata Airport
GBZ,Great Barrier Aerodrome
GCA,Guacamayas Airport
GCC,Gillette–Campbell County Airport
GCD,Grand Coulee Dam Airport
GCH,Gachsaran Airport
GCI,Guernsey Airport
GCJ,Grand Central Airport
GCK,Garden City Regional Airport
GCM,Owen Roberts International Airport
GCN,Grand Canyon National Park Airport
GCW,Grand Canyon West Airport
GCY,Greeneville–Greene County Municipal Airport
GDA,Gounda Airport
GDC,Donaldson Center Airport
GDD,Gordon Downs Airport
GDE,Gode Airport
GDG,Magdagachi Airport
GDH,Golden Horn Lodge Seaplane Base
GDI,Gordil Airport
GDJ,Gandajika Airport
GDL,Guadalajara International Airport
GDM,Gardner Municipal Airport
GDN,Gdańsk Lech Wałęsa Airport
GDO,Guasdualito Airport
GDP,Guadalupe Airport
GDQ,Gondar Airport
GDT,JAGS McCartney International Airport
GDV,Dawson Community Airport
GDW,Gladwin Zettel Memorial Airport
GDX,Sokol Airport
GDZ,Gelendzhik Airport
GEA,Nouméa Magenta Airport
GEB,Gebe Airport
GEC,Geçitkale Air Base
GED,Delaware Coastal Airport
GEE,George Town Aerodrome
GEF,Geva Airport
GEG,Spokane International Airport
GEL,Sepé Tiaraju Airport
GEM,President Obiang Nguema International Airport
GEO,Cheddi Jagan International Airport
GER,Rafael Cabrera Mustelier Airport
GES,General Santos International Airport
GET,Geraldton Airport
GEV,Gällivare Airport
GEW,Gewoia Airport
GEX,Geelong Airport
GEY,South Big Horn County Airport
GFD,Pope Field
GFE,Grenfell Airport
GFF,Griffith Airport
GFK,Grand Forks International Airport
GFL,Floyd Bennett Memorial Airport
GFN,Clarence Valley Regional Airport
GFO,Bartica Airport
GFR,Granville–Mont-Saint-Michel Aerodrome
GFY,Grootfontein Air Base
GGB,Água Boa Airport
GGC,Lumbala N'guimbo Airport
GGD,Gregory Downs Airport
GGE,Georgetown County Airport
GGF,Almeirim Airport
GGG,East Texas Regional Airport
GGH,Gastão Mesquita Airport
GGJ,Guaíra Airport
GGL,Gilgal Airport
GGM,Kakamega Airport
GGN,Gagnoa Airport
GGO,Guiglo Airport
GGR,Garowe International Airport
GGS,Gobernador Gregores Airport
GGT,Exuma International Airport
GGW,Glasgow Airport
GHA,Noumérat – Moufdi Zakaria Airport
GHB,Governor's Harbour Airport
GHC,Great Harbour Cay Airport
GHE,Garachiné Airport
GHF,Giebelstadt Airport
GHK,Gahcho Kue Aerodrome
GHM,Centerville Municipal Airport
GHN,Guanghan Airport
GHT,Ghat Airport
GHU,Gualeguaychú Airport
GIB,Gibraltar International Airport
GIC,Boigu Island Airport
GID,Gitega Airport
GIF,Winter Haven's Gilbert Airport
GIG,Rio de Janeiro–Galeão International Airport
GII,Siguiri Airport
GIL,Gilgit Airport
GIM,Miele Mimbale Airport
GIR,Santiago Vila Airport
GIS,Gisborne Airport
GIT,Geita Airport
GIU,Sigiriya Airport
GIY,Giyani Airport
GIZ,Jizan Regional Airport
GJA,Guanaja Airport
GJL,Jijel Ferhat Abbas Airport
GJM,Guajará-Mirim Airport
GJR,Gjögur Airport
GJT,Grand Junction Regional Airport
GKA,Goroka Airport
GKD,Gökçeada Airport
GKE,NATO Air Base Geilenkirchen
GKH,Palungtar Airport
GKK,Kooddoo Airport
GKL,Great Keppel Island Airport
GKN,Gulkana Airport
GKO,Kongo Boumba Airport
GKT,Gatlinburg–Pigeon Forge Airport
GLA,Glasgow Airport
GLB,San Carlos Apache Airport
GLC,Geladi Airport
GLD,Goodland Municipal Airport
GLE,Gainesville Municipal Airport
GLF,Golfito Airport
GLG,Glengyle Airport
GLH,Mid-Delta Regional Airport
GLI,Glen Innes Airport
GLK,Abdullahi Yusuf International Airport
GLL,"Gol Airport, Klanten"
GLM,Glenormiston Airport
GLN,Guelmim Airport
GLO,Gloucestershire Airport
GLP,Gulgubip Airport
GLR,Gaylord Regional Airport
GLS,Scholes International Airport at Galveston
GLT,Gladstone Airport
GLU,Gelephu Airport
GLV,Golovin Airport
GLW,Glasgow Municipal Airport
GLX,Gamarmalamo Airport
GLY,Goldsworthy Airport
GLZ,Gilze-Rijen Air Base
GMA,Gemena Airport
GMB,Gambela Airport
GMC,Guerima Airport
GMD,Ben Slimane Airport
GME,Gomel Airport
GMI,Gasmata Airport
GMM,Gamboma Airport
GMN,Greymouth Airport
GMO,Gombe Lawanti International Airport
GMP,Gimpo International Airport
